nameid	profession	education	house_loan	car_loan	married	child	revenue	approve
1	5	1	0	0	1	1	8204	1
2	3	1	1	1	0	0	5674	0
3	2	3	1	0	1	0	10634	1
4	2	2	0	0	0	0	43551	1
5	4	2	0	1	0	1	14065	0
6	4	3	0	0	0	1	45571	1
7	1	1	0	0	1	0	18240	1
8	3	4	0	0	0	1	8680	1
9	1	2	1	1	0	1	11135	0
10	3	4	1	1	1	1	12331	0
11	1	5	0	0	1	1	28273	1
12	5	4	0	0	1	1	11785	1
13	4	5	0	1	1	0	12012	1
14	2	2	0	0	1	0	30615	0
15	1	3	1	1	0	1	44486	0
16	1	2	1	0	1	0	19560	0
17	4	2	0	1	1	1	6346	0
18	1	5	0	0	1	1	19389	0
19	5	2	1	0	1	1	20824	0
20	4	3	1	1	0	1	24869	0
21	3	3	1	0	1	0	19865	0
22	1	3	0	0	0	1	23512	0
23	2	3	1	1	1	1	6802	0
24	1	3	0	1	1	0	15449	0
25	3	5	1	1	0	1	18039	0
26	1	5	1	0	0	0	44039	0
27	5	3	1	1	1	0	35716	0
28	5	3	0	1	1	1	43285	0
29	1	5	1	1	0	0	7859	0
30	5	3	0	1	1	1	25721	1
31	2	4	0	0	0	0	17096	1
32	3	2	1	1	0	0	34899	1
33	3	1	1	1	1	0	5578	0
34	4	5	0	0	0	0	42475	0
35	4	3	0	1	0	0	47774	0
36	1	5	0	1	1	0	32494	1
37	5	4	1	1	0	0	14152	1
38	3	4	0	1	0	0	11707	0
39	3	4	1	0	1	1	12662	1
40	4	4	0	1	1	0	10578	1
41	1	5	0	0	1	1	18007	1
42	3	4	0	0	1	1	39319	1
43	4	1	0	1	1	1	12276	0
44	5	2	1	0	0	1	19584	1
45	4	4	1	0	1	1	12359	1
46	5	1	1	0	1	1	15832	1
47	4	1	1	1	0	0	23123	0
48	5	1	1	1	1	1	21129	0
49	2	2	0	1	0	1	35715	0
50	2	4	0	0	0	0	48080	0
51	4	3	0	1	0	0	14046	0
52	1	2	0	0	1	1	10186	0
53	4	2	0	0	0	1	24915	0
54	3	3	1	0	0	0	16045	0
55	3	3	0	1	1	0	9488	0
56	3	3	0	0	0	1	18366	0
57	2	4	1	0	0	1	20587	0
58	5	5	1	1	1	1	17930	0
59	4	5	0	0	0	1	10602	0
60	5	1	0	0	1	0	24751	0
61	2	5	1	0	0	0	30382	0
62	3	5	0	1	0	1	31315	0
63	2	1	1	0	0	1	6649	0
64	1	5	1	0	1	0	5211	0
65	2	4	1	1	0	0	19213	1
66	3	3	1	0	0	0	36519	1
67	1	1	1	0	1	1	18432	1
68	2	1	0	1	0	0	13079	0
69	5	2	0	0	0	1	12574	1
70	2	2	1	1	1	0	22801	0
71	3	1	1	1	0	1	34504	0
72	4	5	0	1	0	1	5996	0
73	4	4	1	0	0	0	9746	1
74	2	2	0	0	1	1	37814	0
75	2	4	1	1	1	0	32621	1
76	3	3	0	0	1	1	44837	1
77	5	1	1	0	0	1	16133	1
78	2	1	1	0	1	1	34031	0
79	1	2	1	0	0	0	49479	1
80	1	5	0	1	1	1	8689	1
81	4	1	0	0	1	0	9854	1
82	4	4	1	0	0	1	30167	1
83	5	5	0	1	0	0	43947	0
84	4	3	1	0	0	0	29504	1
85	5	5	1	1	0	0	6194	0
86	5	2	1	1	0	0	10332	0
87	2	1	1	0	0	1	19302	1
88	4	5	1	1	1	1	18661	0
89	3	4	0	1	0	0	19796	1
90	1	5	0	1	1	1	11326	1
91	2	2	0	0	0	1	32798	1
92	1	1	1	0	1	1	43727	0
93	1	3	1	1	1	0	11398	1
94	1	4	1	1	1	0	46218	1
95	2	5	0	0	1	0	29329	1
96	2	5	1	0	1	1	19341	1
97	4	3	0	0	1	1	42069	1
98	1	3	0	0	0	1	36004	1
99	5	1	0	1	1	1	27242	0
100	3	2	1	1	1	1	16594	0
101	1	5	0	1	1	1	23481	1
102	4	5	0	0	1	0	7566	0
103	1	4	0	1	0	1	44725	0
104	1	5	0	0	1	1	25434	0
105	1	4	1	1	0	1	15393	0
106	2	2	1	1	0	0	16038	0
107	5	5	1	1	1	0	11200	0
108	4	4	0	1	0	0	11831	0
109	2	3	0	0	0	0	11172	0
110	1	3	0	0	0	0	46512	0
111	3	4	1	1	0	0	34341	0
112	5	4	0	1	1	0	41190	0
113	2	5	0	0	0	0	16180	0
114	5	4	1	0	0	1	11971	0
115	4	5	0	1	0	1	7225	0
116	3	2	1	1	0	0	13290	1
117	1	3	0	0	1	1	18308	1
118	1	2	0	1	1	1	6485	1
119	5	3	1	0	0	1	39063	1
120	5	4	1	0	0	1	9006	1
121	1	3	1	0	0	1	24233	1
122	3	4	0	1	1	0	39482	1
123	2	3	0	1	1	1	14420	1
124	2	2	0	1	0	1	14126	0
125	2	1	0	0	1	0	28855	1
126	3	2	0	1	1	1	17658	1
127	2	5	0	0	0	0	16815	0
128	5	1	0	1	1	1	9804	1
129	5	4	0	0	1	1	10558	0
130	4	3	0	1	0	0	9110	1
131	4	5	1	1	0	0	37635	1
132	4	2	0	0	1	0	25525	1
133	1	3	1	0	0	0	7816	0
134	3	4	1	0	1	1	34145	0
135	4	4	1	1	1	1	42146	0
136	4	3	0	0	1	0	30460	0
137	4	4	1	0	0	0	10983	0
138	1	1	1	0	1	1	21178	0
139	1	1	1	1	1	0	37063	0
140	1	5	1	1	0	1	49277	0
141	3	2	0	1	0	0	44375	0
142	1	3	0	0	1	1	18151	0
143	1	4	0	0	1	1	25453	0
144	4	1	1	1	1	1	20634	0
145	1	4	1	0	1	0	39433	0
146	3	1	1	0	0	0	5693	0
147	5	4	0	0	0	0	16634	0
148	5	1	0	1	1	1	27571	0
149	4	2	1	1	1	1	21117	0
150	1	5	1	0	0	0	25515	0
151	5	3	1	0	1	0	9845	0
152	3	5	1	1	1	0	7550	0
153	3	2	0	1	1	1	49962	0
154	3	1	0	0	0	0	16983	0
155	2	2	0	1	1	0	12023	1
156	5	1	1	1	1	1	28946	0
157	5	4	0	0	1	0	19035	1
158	5	5	0	1	1	0	16932	1
159	4	1	0	1	0	1	22973	0
160	1	4	0	1	1	1	10349	1
161	1	3	0	0	1	0	14120	1
162	3	3	0	0	0	1	41482	1
163	3	5	1	0	1	1	9479	0
164	4	5	0	0	1	1	31212	1
165	3	2	0	1	1	0	5029	1
166	4	4	1	1	0	0	5366	0
167	3	1	1	0	1	1	19157	1
168	4	3	1	1	1	0	29697	1
169	2	4	0	1	0	0	44719	1
170	5	5	0	0	1	0	46698	1
171	4	4	1	0	0	1	11588	1
172	3	3	1	1	0	1	7045	0
173	4	4	0	0	1	0	37886	1
174	3	4	0	0	1	0	33950	0
175	4	5	0	1	1	1	7713	0
176	2	4	1	0	1	1	47794	1
177	4	1	1	1	0	1	46551	0
178	4	4	1	0	0	1	18149	1
179	1	5	1	0	1	0	17408	1
180	2	2	1	0	0	1	19870	1
